,school_no, longitude, latitude, person, sa2_name_2016, sa4_name_2016, mb_category_name_2016, sa3_name_2016, mb_code_2016, Connectivity, Area, Connections, LUM_Residential, LUM_Parkland, LUM_Education, LUM_Commercial, LUM_Industrial, LUM_Hospital/Medical, LUM_Transport, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
116,7841,144.8949,-37.7991,0,Footscray,Melbourne - West,Education,Maribyrnong,20373030000,202.658171162,759900.275014,154,490746.655263,0.0,42670.649974,222572.900092,0.0,0.0,0.0,0.412528154355,78.9931601313,2.06975587992,0.291172877852,0.133542011369,2.49447076914
117,7810,144.9845,-37.88199,0,Elwood,Melbourne - Inner,Education,Port Phillip,20521460000,88.1988062976,646267.250009,57,521060.031562,51441.7452313,52042.3333486,8365.61319679,0.0,0.0,0.0,0.322061505302,76.4562753454,-0.41636739301,0.230536493287,-0.404842522259,-0.590673421983
118,7763,144.93326,-37.78235,0,Flemington,Melbourne - Inner,Education,Essendon,20451740000,94.2616053694,615308.85001,58,467213.609352,31981.994603,56980.4633096,58834.6876528,0.0,0.0,298.095092869,0.41690419701,76.3216355622,-0.284679908203,0.227318345693,0.159584687962,0.102223125452
119,7670,144.89775,-37.74712,0,Essendon - Aberfeldie,Melbourne - Inner,Education,Essendon,20448190000,40.9551122051,610424.405013,25,533524.946932,45002.0410411,31897.4170399,0.0,0.0,0.0,0.0,0.238525654863,34.809249595,-1.44252761608,-0.764906848645,-0.901980532236,-3.10941499697
120,7526,145.04463,-37.83985,0,Hawthorn East,Melbourne - Inner East,Education,Boroondara,20070040000,61.5275844933,178781.600003,11,86542.2457644,39125.0020115,33733.3342182,15479.4182676,0.0,0.0,0.0,0.624466011636,39.4064117372,-0.995681679119,-0.655025906039,1.39482520959,-0.255882375569
121,7384,144.96477,-37.82823,0,Southbank,Melbourne - Inner,Commercial,Melbourne City,20394783000,188.256201627,515255.270009,97,162702.953792,9264.60497876,37680.4597292,134150.1176,114332.081225,0.0,57125.0526847,0.799527403812,295.254447306,1.75693681368,5.46023008079,2.43664942845,9.65381632292
122,7366,145.04082,-37.82314,54,Hawthorn,Melbourne - Inner East,Education,Boroondara,20069812000,114.068174636,736401.720009,84,492959.856611,37624.1631073,102010.315637,82510.0479179,0.0,0.0,12308.5256314,0.518142600452,85.7286350175,0.145530174369,0.452163573093,0.76207401627,1.35976776373
123,7300,145.02538,-37.74007,0,Preston - East,Melbourne - North East,Education,Darebin - North,20146450000,56.3914888884,602927.865006,34,332549.479406,27489.1255386,42557.2997331,160631.144081,39700.8162466,0.0,0.0,0.6103093549,34.9188185021,-1.10724063133,-0.762287942802,1.31057620607,-0.558952368065
124,6261,145.0257,-37.76204,89,Thornbury,Melbourne - Inner,Education,Darebin - South,20141980000,62.5713215289,479452.875007,30,224406.013779,101804.911055,39297.7983432,0.0,113944.15183,0.0,0.0,0.632553907707,34.9945260948,-0.973011110065,-0.760478386954,1.4429578441,-0.290531652917
125,6212,144.9905,-37.80298,0,Collingwood,Melbourne - Inner,Education,Yarra,20639680000,132.324245386,597018.330008,79,281666.346059,4989.77614616,31034.297743,106895.658408,172432.251652,0.0,0.0,0.62428056404,78.1676463397,0.54206253691,0.271441523866,1.39372157506,2.20722563584
126,5489,145.02003,-37.88805,0,Caulfield - South,Melbourne - Inner South,Education,Glen Eira,20182270000,74.042298653,607760.710008,45,518209.474585,0.0,13613.9873922,74538.1950746,0.0,0.0,0.0,0.2452166955,42.3896987203,-0.723854885712,-0.583719657611,-0.862160854702,-2.16973539803
127,5271,145.00748,-37.81464,0,Richmond (Vic.),Melbourne - Inner,Education,Yarra,20643780000,118.684615643,724609.50001,86,526322.913892,7740.79112171,26737.7959114,53863.144375,109944.85471,0.0,0.0,0.453149748016,97.1313971447,0.245801929679,0.724711334538,0.375288975443,1.34580223966
128,5269,144.99907,-37.82957,0,Richmond (Vic.),Melbourne - Inner,Education,Yarra,20643230000,253.243844426,687084.815009,174,200571.266751,89576.4302628,9626.87263242,300823.514106,30388.1324968,0.0,56098.5987608,0.713771885874,63.8653560846,3.16850581381,-0.0704104896285,1.92630174768,5.02439707187
129,5261,144.95174,-37.73292,0,Coburg,Melbourne - Inner,Education,Brunswick - Coburg,20467390000,50.159405292,578156.775009,29,351455.276341,0.0,45187.2728412,0.0,160133.798981,0.0,0.0,0.438170746632,41.9757249553,-1.24260507343,-0.593614420099,0.286146039796,-1.55007345373
130,5145,144.94197,-37.83679,0,Port Melbourne,Melbourne - Inner,Education,Port Phillip,20529191000,153.610086016,807238.660014,124,578691.949234,146441.912679,11969.3631498,70135.4349503,0.0,0.0,0.0,0.422935215759,111.632006097,1.00440324478,1.07130354311,0.195476447526,2.27118323541
131,5144,145.04074,-37.75629,0,Heidelberg West,Melbourne - North East,Education,Banyule,20023060000,108.497854338,497705.695007,54,307198.509674,111921.35849,47867.5475692,10888.5716941,0.0,19025.7567148,0.0,0.548380800165,30.1948889912,0.0245396119428,-0.875198867284,0.942027393793,0.0913681384514
132,5109,144.93236,-37.77682,0,Ascot Vale,Melbourne - Inner,Education,Essendon,20444190000,61.3574764903,488937.970008,30,361873.33724,32217.3953957,11624.4700502,83222.7673221,0.0,0.0,0.0,0.407128859967,42.2504009705,-0.999376522835,-0.587049139491,0.101409765714,-1.48501589661
133,5068,144.93526,-37.78578,0,Flemington,Melbourne - Inner,Parkland,Essendon,20450820000,117.956115912,584963.31001,69,452431.001419,41960.0314938,39459.0860007,19188.2924732,31550.5230002,0.0,374.375623813,0.433666849363,107.124092929,0.229978496296,0.963555821202,0.259342475657,1.45287679316
134,5044,144.99574,-37.81363,0,Richmond (Vic.),Melbourne - Inner,Education,Yarra,20645250000,148.908426775,705131.350011,105,502602.563375,7131.89647793,9129.64106898,154395.628342,0.0,22497.7217048,9373.89904212,0.433730231427,95.3771382904,0.902280500402,0.682781202311,0.259719674585,1.8447813773
135,4980,144.97044,-37.7956,0,Carlton,Melbourne - Inner,Education,Melbourne City,20396640000,193.824226781,748100.495011,145,604254.30304,17177.0019199,28856.0032253,97813.1868258,0.0,0.0,0.0,0.334394747172,118.416758198,1.87787752427,1.23347205778,-0.33144501343,2.77990456862
136,4764,145.02946,-37.73305,0,Preston - East,Melbourne - North East,Education,Darebin - North,20148210000,87.9662016248,363776.080005,32,289317.063917,10685.3506949,38016.2034406,19901.8203126,0.0,0.0,0.0,0.347222624748,44.232331402,-0.42141970036,-0.53967722237,-0.255103831808,-1.21620075454
137,4704,144.93562,-37.74572,0,Pascoe Vale South,Melbourne - Inner,Education,Brunswick - Coburg,20471020000,81.2431218979,775450.260013,63,564859.336525,103788.622016,26194.9435319,14438.0534615,0.0,0.0,66169.3044788,0.46179685461,37.004905057,-0.567448860967,-0.712426495692,0.426749579977,-0.853125776682
138,4679,144.9874,-37.764,0,Northcote,Melbourne - Inner,Education,Darebin - South,20142240000,60.8242503236,526105.950007,32,439252.045787,22889.9263766,19369.3400582,15162.6802182,29431.9575672,0.0,0.0,0.345400034694,53.0216776701,-1.01095850203,-0.329595084092,-0.26595041789,-1.60650400401
139,4612,144.91711,-37.73556,0,Strathmore,Melbourne - North West,Education,Keilor,20444910000,63.8167105012,485766.185009,31,381166.073413,30898.8391748,23491.915568,17323.1952208,0.0,0.0,32886.1616324,0.417893431645,32.456130162,-0.945960544901,-0.821150890811,0.165471814692,-1.60163962102
