school_no, longitude, latitude, person, sa2_name_2016, sa4_name_2016, mb_category_name_2016, sa3_name_2016, mb_code_2016, Connectivity, Area, Connections, LUM_Residential, LUM_Parkland, LUM_Education, LUM_Commercial, LUM_Industrial, LUM_Hospital/Medical, LUM_Transport, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
4612,144.91711,-37.73556,0,"Strathmore","Melbourne - North West","Education","Keilor","20444910000",63.81671050120961,485766.1850090567,31,381166.073413176,30898.839174849712,23491.91556803137,17323.195220760535,0.0,0.0,32886.16163243831,0.4178934316451764,32.456130161974436,-0.9459605449005801,-0.8211508908114602,0.1654718146922579,-1.6016396210197823
4543,144.95187,-37.73603,0,"Coburg","Melbourne - Inner","Education","Brunswick - Coburg","20467390000",77.39905499690707,736443.1000130139,57,647959.1001273086,0.0,45187.25784122199,0.0,43296.74204438785,0.0,0.0,0.2315005524392297,42.13509749475816,-0.6509442062061862,-0.5898051124610252,-0.9437882761032512,-2.184537594770463
4399,144.9431,-37.75654,0,"Brunswick West","Melbourne - Inner","Education","Brunswick - Coburg","20463740000",89.34260181844009,548450.5600091727,49,493198.17971622106,19888.241925329377,16983.810741741676,11775.396146014566,0.0,0.0,6604.931479655788,0.23591301693328354,67.43034947651957,-0.3915234960754789,0.014799651362257792,-0.9175288460962815,-1.2942526908095027
4309,144.99072,-37.74789,0,"Preston - West","Melbourne - North East","Education","Darebin - North","20148730000",83.58572222618231,646043.3500099026,54,574958.7246482539,12157.532177176327,16749.736910015345,0.0,35081.83035753387,0.0,7095.525916907121,0.24715704967855315,40.761633925113905,-0.5165662337376231,-0.6226335111559025,-0.8506134315318419,-1.9898131764253675
4304,144.94318,-37.77057,3,"Brunswick West","Melbourne - Inner","Education","Brunswick - Coburg","20462910000",74.39946594353259,752693.5750117166,56,685753.7592750292,29728.191070333996,18962.13577602431,12718.965432836661,5530.523457551941,0.0,0.0,0.21084356714204672,49.03227086646976,-0.7160970066225388,-0.42494951503670775,-1.066721992691195,-2.207768514350442
4220,144.89555,-37.7566,7,"Essendon - Aberfeldie","Melbourne - Inner","Education","Essendon","20448360000",61.56391272866199,665974.5650135041,41,604711.2179961769,22628.419647297138,38634.927370022095,0.0,0.0,0.0,0.0,0.18896327020299483,34.09174971533644,-0.9948926089405121,-0.7820564641388892,-1.1969358735682014,-2.973884946647603
4183,145.04474,-37.83953,0,"Hawthorn East","Melbourne - Inner East","Education","Boroondara","20068440000",56.6548934013299,176507.2600024566,10,85208.39257077243,38921.920400619245,33529.71781782922,14945.629472487786,0.0,0.0,0.0,0.6241267340522481,39.4064117371651,-1.1015193337293214,-0.655025906039482,1.392806103038974,-0.3637391367298295
4177,145.00555,-37.77647,0,"Northcote","Melbourne - Inner","Education","Darebin - South","20139500000",118.35727753395065,650572.5850099301,77,614221.8878556013,21245.359682736453,15105.337471529376,0.0,0.0,0.0,0.0,0.13021756185734715,46.28774384373188,0.23869195757514824,-0.490548945063556,-1.5465429511075708,-1.7983999385959786
4087,145.00513,-37.87471,0,"Caulfield - North","Melbourne - Inner South","Education","Glen Eira","20184270000",55.39899753190491,487373.44000584836,27,433473.98708614724,9694.019154894893,44205.4337649105,0.0,0.0,0.0,0.0,0.20548651512118526,49.727434348219674,-1.128798114745113,-0.4083337820523111,-1.0986028458459516,-2.6357347426433755
4025,144.91112,-37.78068,0,"Ascot Vale","Melbourne - Inner","Education","Essendon","20450940000",108.63164785473151,533914.3900087103,58,281612.3003025702,28706.612420134246,11921.959224831313,211673.51806099783,0.0,0.0,0.0,0.48628445427981254,54.01774248037571,0.027445684122898537,-0.3057872354971862,0.5724800239139859,0.2941384725396982
4015,144.90303,-37.74149,0,"Essendon - Aberfeldie","Melbourne - Inner","Education","Essendon","20448270000",68.33217119341963,643913.3900114854,44,567452.531169751,12884.024688262027,26207.189841334708,37369.644312058575,0.0,0.0,0.0,0.24933038663721638,55.07266187809243,-0.8478821401482756,-0.2805726500181011,-0.8376794827545804,-1.966134272920957
3987,144.93369,-37.76341,0,"Moonee Ponds","Melbourne - Inner","Education","Essendon","20446680000",63.24937954052019,490123.3850071226,31,302056.4835063388,129191.70825302284,20214.853619055182,0.0,0.0,0.0,38660.339628859074,0.50444603186586,45.218385156458005,-0.9582832998493732,-0.5161086571007308,0.6805630863566736,-0.7938288705934304
3942,144.98836,-37.8815,0,"Elwood","Melbourne - Inner","Education","Port Phillip","20523580000",83.3964161801079,407691.3800057254,34,366235.17394061724,9494.244495294482,25966.430096810043,0.0,0.0,0.0,0.0,0.17977356586749382,81.67658108838073,-0.5206780699985333,0.35531175637198725,-1.2516255822577624,-1.4169918958843084
3941,144.94762,-37.74715,0,"Coburg","Melbourne - Inner","Education","Brunswick - Coburg","20467830000",61.763889837381456,777153.1250117101,48,740066.6097942031,25161.62544730818,11924.88977037452,0.0,0.0,0.0,0.0,0.11394123615250631,44.24008554126497,-0.9905489910580622,-0.5394918836532345,-1.6434065148128145,-3.173447389524111
3889,144.99675,-37.75543,0,"Thornbury","Melbourne - Inner","Education","Darebin - South","20142050000",100.90220547873881,733383.3750104958,74,583994.9816744106,40562.75138310529,18292.388400079282,43336.2833489915,0.0,0.0,47196.97020390292,0.39942887409523303,51.97735607751026,-0.14044225235500554,-0.3545563618178959,0.0555856598584223,-0.4394129543144792
3885,144.99553,-37.73737,0,"Preston - West","Melbourne - North East","Education","Darebin - North","20146950000",96.14682857184366,676049.340009485,65,582410.1653539443,0.0,67567.34156621862,26071.83308923152,0.0,0.0,0.0,0.24881493929224802,42.25835993516242,-0.24373177535513907,-0.5868589050572551,-0.8407470096424942,-1.6713376900548882
3820,145.02156,-37.87211,0,"Caulfield - North","Melbourne - Inner South","Education","Glen Eira","20184301000",67.99262509597368,661836.4850082067,45,540786.89906211,78080.77172969116,20117.563041905873,22851.25117467856,0.0,0.0,0.0,0.32869057243750244,48.474645684927786,-0.8552572767837957,-0.438277820342035,-0.36539166102343107,-1.658926758149262
3806,145.01427,-37.75452,0,"Thornbury","Melbourne - Inner","Education","Darebin - South","20141320000",58.75823432312557,680755.6500086514,40,658942.2902839244,17275.583318608813,4537.776406179764,0.0,0.0,0.0,0.0,0.08127697997813035,45.82577562705777,-1.0558335584958323,-0.5015908664778002,-1.8377978237732915,-3.395222248746924
3774,144.98232,-37.84977,6,"South Yarra - West","Melbourne - Inner","Education","Melbourne City","20400690000",135.24319048968837,635891.5350089814,86,491708.51119846373,46728.61243869201,69347.82779010758,6960.751260745943,0.0,21145.83232107224,0.0,0.40851940767124334,147.6492238035316,0.6054637043300642,1.932183735996921,0.10968518416891487,2.6473326244959003
